Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,THOLDFAIL,CQCONF,EXPFAIL,HIGHSD,OUTLIERRG,SPIKE,NOAMP,PRFLOW,NOISE
30,C6,false,F3,PaV1,UNKNOWN,FAM,NFQ-MGB,29.344,29.492,0.142,,,,,,,,true,0.040,true,3,26,Amp,,0.983,Y,N,N,N,N,N,N,N,N
31,C7,false,F3,PaV1,UNKNOWN,FAM,NFQ-MGB,29.627,29.492,0.142,,,,,,,,true,0.040,true,3,26,Amp,,0.977,Y,N,N,N,N,N,N,N,N
32,C8,false,F3,PaV1,UNKNOWN,FAM,NFQ-MGB,29.505,29.492,0.142,,,,,,,,true,0.040,true,3,26,Amp,,0.983,Y,N,N,N,N,N,N,N,N
34,C10,false,B3,PaV1,UNKNOWN,FAM,NFQ-MGB,27.718,27.575,0.136,,,,,,,,true,0.040,true,3,24,Amp,,0.984,Y,N,N,N,N,N,N,N,N
35,C11,false,B3,PaV1,UNKNOWN,FAM,NFQ-MGB,27.558,27.575,0.136,,,,,,,,true,0.040,true,3,24,Amp,,0.981,Y,N,N,N,N,N,N,N,N
36,C12,false,B3,PaV1,UNKNOWN,FAM,NFQ-MGB,27.448,27.575,0.136,,,,,,,,true,0.040,true,3,24,Amp,,0.984,Y,N,N,N,N,N,N,N,N
38,D2,false,S4,PaV1,UNKNOWN,FAM,NFQ-MGB,18.663,18.726,0.070,,,,,,,,true,0.040,true,3,15,Amp,,0.595,Y,Y,N,N,N,N,N,N,N
39,D3,false,S4,PaV1,UNKNOWN,FAM,NFQ-MGB,18.714,18.726,0.070,,,,,,,,true,0.040,true,3,15,Amp,,0.671,Y,Y,N,N,N,N,N,N,N
40,D4,false,S4,PaV1,UNKNOWN,FAM,NFQ-MGB,18.801,18.726,0.070,,,,,,,,true,0.040,true,3,15,Amp,,0.679,Y,Y,N,N,N,N,N,N,N
42,D6,false,F4,PaV1,UNKNOWN,FAM,NFQ-MGB,25.668,25.688,0.018,,,,,,,,true,0.040,true,3,22,Amp,,0.889,Y,N,N,N,N,N,N,N,N
43,D7,false,F4,PaV1,UNKNOWN,FAM,NFQ-MGB,25.702,25.688,0.018,,,,,,,,true,0.040,true,3,22,Amp,,0.896,Y,N,N,N,N,N,N,N,N
44,D8,false,F4,PaV1,UNKNOWN,FAM,NFQ-MGB,25.694,25.688,0.018,,,,,,,,true,0.040,true,3,22,Amp,,0.888,Y,N,N,N,N,N,N,N,N
46,D10,false,B4,PaV1,UNKNOWN,FAM,NFQ-MGB,24.751,24.688,0.082,,,,,,,,true,0.040,true,3,21,Amp,,0.870,Y,N,N,N,N,N,N,N,N
47,D11,false,B4,PaV1,UNKNOWN,FAM,NFQ-MGB,24.719,24.688,0.082,,,,,,,,true,0.040,true,3,21,Amp,,0.853,Y,N,N,N,N,N,N,N,N
48,D12,false,B4,PaV1,UNKNOWN,FAM,NFQ-MGB,24.596,24.688,0.082,,,,,,,,true,0.040,true,3,21,Amp,,0.841,Y,N,N,N,N,N,N,N,N
50,E2,false,S5,PaV1,UNKNOWN,FAM,NFQ-MGB,15.227,15.310,0.073,,,,,,,,true,0.040,true,3,12,Amp,,0.634,Y,Y,N,N,N,N,N,N,N
51,E3,false,S5,PaV1,UNKNOWN,FAM,NFQ-MGB,15.343,15.310,0.073,,,,,,,,true,0.040,true,3,12,Amp,,0.600,Y,Y,N,N,N,N,N,N,N
52,E4,false,S5,PaV1,UNKNOWN,FAM,NFQ-MGB,15.361,15.310,0.073,,,,,,,,true,0.040,true,3,12,Amp,,0.716,Y,Y,N,N,N,N,N,N,N
54,E6,false,F5,PaV1,UNKNOWN,FAM,NFQ-MGB,22.275,22.166,0.124,,,,,,,,true,0.040,true,3,19,Amp,,0.800,Y,N,N,N,N,N,N,N,N
55,E7,false,F5,PaV1,UNKNOWN,FAM,NFQ-MGB,22.191,22.166,0.124,,,,,,,,true,0.040,true,3,19,Amp,,0.800,Y,N,N,N,N,N,N,N,N
56,E8,false,F5,PaV1,UNKNOWN,FAM,NFQ-MGB,22.030,22.166,0.124,,,,,,,,true,0.040,true,3,19,Amp,,0.760,Y,Y,N,N,N,N,N,N,N
58,E10,false,B5,PaV1,UNKNOWN,FAM,NFQ-MGB,21.095,20.148,1.518,,,,,,,,true,0.040,true,3,18,Amp,,0.790,Y,Y,N,Y,N,N,N,N,N
59,E11,false,B5,PaV1,UNKNOWN,FAM,NFQ-MGB,20.953,20.148,1.518,,,,,,,,true,0.040,true,3,18,Amp,,0.743,Y,Y,N,Y,N,N,N,N,N
60,E12,false,B5,PaV1,UNKNOWN,FAM,NFQ-MGB,18.397,20.148,1.518,,,,,,,,true,0.040,true,3,15,Amp,,0.712,Y,Y,N,Y,N,N,N,N,N
62,F2,false,S6,PaV1,UNKNOWN,FAM,NFQ-MGB,13.368,13.523,0.151,,,,,,,,true,0.040,true,3,10,Amp,,0.691,Y,Y,N,N,N,N,N,N,N
63,F3,false,S6,PaV1,UNKNOWN,FAM,NFQ-MGB,13.532,13.523,0.151,,,,,,,,true,0.040,true,3,10,Amp,,0.693,Y,Y,N,N,N,N,N,N,N
64,F4,false,S6,PaV1,UNKNOWN,FAM,NFQ-MGB,13.670,13.523,0.151,,,,,,,,true,0.040,true,3,10,Amp,,0.602,Y,Y,N,N,N,N,N,N,N
66,F6,false,F6,PaV1,UNKNOWN,FAM,NFQ-MGB,18.416,25.262,11.774,,,,,,,,true,0.040,true,3,15,Amp,,0.714,Y,Y,N,Y,N,N,N,N,N
67,F7,false,F6,PaV1,UNKNOWN,FAM,NFQ-MGB,18.512,25.262,11.774,,,,,,,,true,0.040,true,3,15,Amp,,0.719,Y,Y,N,Y,N,N,N,N,N
68,F8,false,F6,PaV1,UNKNOWN,FAM,NFQ-MGB,38.857,25.262,11.774,,,,,,,,true,0.040,true,3,35,No Amp,,0.149,Y,Y,N,Y,Y,N,N,N,N
70,F10,false,B6,PaV1,UNKNOWN,FAM,NFQ-MGB,18.427,18.422,0.005,,,,,,,,true,0.040,true,3,15,Amp,,0.770,Y,Y,N,N,N,N,N,N,N
71,F11,false,B6,PaV1,UNKNOWN,FAM,NFQ-MGB,18.417,18.422,0.005,,,,,,,,true,0.040,true,3,15,Amp,,0.749,Y,Y,N,N,N,N,N,N,N
72,F12,false,B6,PaV1,UNKNOWN,FAM,NFQ-MGB,18.421,18.422,0.005,,,,,,,,true,0.040,true,3,15,Amp,,0.677,Y,Y,N,N,N,N,N,N,N
74,G2,false,S7,PaV1,UNKNOWN,FAM,NFQ-MGB,14.243,14.312,0.062,,,,,,,,true,0.040,true,3,11,Amp,,0.632,Y,Y,N,N,N,N,N,N,N
75,G3,false,S7,PaV1,UNKNOWN,FAM,NFQ-MGB,14.329,14.312,0.062,,,,,,,,true,0.040,true,3,11,Amp,,0.675,Y,Y,N,N,N,N,N,N,N
76,G4,false,S7,PaV1,UNKNOWN,FAM,NFQ-MGB,14.363,14.312,0.062,,,,,,,,true,0.040,true,3,11,Amp,,0.584,Y,Y,N,N,N,N,N,N,N
78,G6,false,F7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.811,18.666,0.134,,,,,,,,true,0.040,true,3,15,Amp,,0.714,Y,Y,N,N,N,N,N,N,N
79,G7,false,F7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.547,18.666,0.134,,,,,,,,true,0.040,true,3,15,Amp,,0.659,Y,Y,N,N,N,N,N,N,N
80,G8,false,F7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.639,18.666,0.134,,,,,,,,true,0.040,true,3,15,Amp,,0.666,Y,Y,N,N,N,N,N,N,N
82,G10,false,B7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.837,18.817,0.072,,,,,,,,true,0.040,true,3,15,Amp,,0.742,Y,Y,N,N,N,N,N,N,N
83,G11,false,B7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.877,18.817,0.072,,,,,,,,true,0.040,true,3,15,Amp,,0.686,Y,Y,N,N,N,N,N,N,N
84,G12,false,B7,PaV1,UNKNOWN,FAM,NFQ-MGB,18.738,18.817,0.072,,,,,,,,true,0.040,true,3,15,Amp,,0.686,Y,Y,N,N,N,N,N,N,N
86,H2,false,Extraction_blank,PaV1,UNKNOWN,FAM,NFQ-MGB,27.108,27.259,0.213,,,,,,,,true,0.040,true,3,24,Amp,,0.972,Y,N,N,N,N,N,N,N,N
87,H3,false,Extraction_blank,PaV1,UNKNOWN,FAM,NFQ-MGB,Undetermined,27.259,0.213,,,,,,,,true,0.040,true,3,39,No Amp,,0.000,Y,Y,Y,N,N,Y,N,Y,Y
88,H4,false,Extraction_blank,PaV1,UNKNOWN,FAM,NFQ-MGB,27.410,27.259,0.213,,,,,,,,true,0.040,true,3,24,Amp,,0.970,Y,N,N,N,N,N,N,N,N
94,H10,false,Positive_control,PaV1,UNKNOWN,FAM,NFQ-MGB,11.146,11.416,0.252,,,,,,,,true,0.040,true,3,8,Amp,,0.641,Y,Y,N,N,N,N,N,N,N
95,H11,false,Positive_control,PaV1,UNKNOWN,FAM,NFQ-MGB,11.458,11.416,0.252,,,,,,,,true,0.040,true,3,8,Amp,,0.569,Y,Y,N,N,N,N,N,N,N
96,H12,false,Positive_control,PaV1,UNKNOWN,FAM,NFQ-MGB,11.644,11.416,0.252,,,,,,,,true,0.040,true,3,8,Amp,,0.606,Y,Y,N,N,N,N,N,N,N
